Model,Katsayılar,Test Kümesi Performans Metrikleri
Çoklu Doğrusal Regresyon,"{'Pregnancies': 0.008993943574591191, 'Glucose': 0.005741608634515054, 'BloodPressure': -0.0017111446952379644, 'SkinThickness': -0.00025320834652632206, 'Insulin': -0.00012649915169296277, 'BMI': 0.016173473593463387, 'DiabetesPedigreeFunction': 0.0729016857787849, 'Age': 0.006264504815336458}",0.41956328491828304
Multinominal Lojistik Regresyon,"{'Pregnancies': 0.05778505520377742, 'Glucose': 0.035901644022680895, 'BloodPressure': -0.010869032371758984, 'SkinThickness': -0.0014096170793228226, 'Insulin': -0.0009845585760721704, 'BMI': 0.10910452762287297, 'DiabetesPedigreeFunction': 0.37401320163280527, 'Age': 0.03600338627767724}",0.7359307359307359
