,precision,recall,f1-score,support
0,0.7590361445783133,0.8344370860927153,0.7949526813880128,151.0
1,0.6153846153846154,0.5,0.5517241379310345,80.0
accuracy,0.7186147186147186,0.7186147186147186,0.7186147186147186,0.7186147186147186
macro avg,0.6872103799814644,0.6672185430463576,0.6733384096595236,231.0
weighted avg,0.7092866972385045,0.7186147186147186,0.7107176879829987,231.0
