,LD1
Pregnancies,0.1297495807862055
Glucose,0.03730369686603293
BloodPressure,-0.014693192054569475
SkinThickness,0.0009736306973490291
Insulin,-0.0011375497088623489
BMI,0.08345076993964223
DiabetesPedigreeFunction,0.9277445189851188
Age,0.016517427571609948
